gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction
LOC105605640,63.188141852797585,2.1357480027749323,0.4855662797379494,4.398468534362711,1.0901742838794836e-5,0.0022645605812818314,Up
TBXAS1,135.55606532769488,-1.9900709363238749,0.45280739306602064,-4.394961228103704,1.1079252675020132e-5,0.0022685561227294795,Down
ZNF787,668.982193193245,1.4522405573954296,0.3311177884165706,4.385872967864849,1.1552152911885696e-5,0.0023320705307895446,Up
LOC114118278,622.6452828067312,-1.036458086493756,0.23672393803724037,-4.378340843293613,1.1958622420926058e-5,0.002380596321654628,Down
FASTK,772.4865556169227,1.0176258264828284,0.23422047373861696,4.344734728948027,1.3944406701160282e-5,0.0027008808276720313,Up
LOC114112677,90.83416725639411,6.4075488899261455,1.4811777693473167,4.325982351699514,1.5185358099751584e-5,0.0028811587858577174,Up
KCP,478.0277019034415,1.176184838001733,0.27247278048344226,4.316705822559064,1.5837500326941225e-5,0.0029480375608577736,Up
HOXB2,242.94369869158047,1.386649889773399,0.3219271108150276,4.30734114397137,1.6522867865156905e-5,0.0029602783138911737,Up
TMEM132A,317.40139325287305,1.5928398388234193,0.36946399966128907,4.3112179814100315,1.6235775279523972e-5,0.0029602783138911737,Up
LOC101103616,1052.9469746587529,1.615823255053562,0.3750656083521634,4.308108285781308,1.646567724391506e-5,0.0029602783138911737,Up
C9H8orf82,175.07498600812244,1.8311660664384044,0.42556728346509703,4.302882617123428,1.6859018031723703e-5,0.0029832136475147633,Up
IL17D,80.2065288932914,1.6193740949758277,0.37796566538913723,4.284447618565008,1.8319376140195165e-5,0.00314942974978456,Up
PRR35,198.58492343786577,1.8569027976756471,0.4335745245433499,4.282776529897317,1.8457552430189287e-5,0.00314942974978456,Up
CRELD2,520.4876530833452,1.3539949789446393,0.31845175081085564,4.251805730372148,2.120537724796538e-5,0.0035757255540598567,Up
HRG,447.83770812680774,-2.133090215456286,0.5032386565557976,-4.238724882653714,2.2479293318050268e-5,0.0037017533762655924,Down
FAM234A,7108.811433020151,1.176552884238201,0.2774007786371781,4.241346725911878,2.221825952835655e-5,0.0037017533762655924,Up
ZNF865,381.48549788142424,1.4051577249844742,0.33195927586092383,4.232922009304457,2.3067451567371933e-5,0.0037148964417431677,Up
GDF1,102.12434663194891,1.7941724533937116,0.4259719619556592,4.21194964371968,2.5317599161214002e-5,0.004031968319752003,Up
HSD17B1,533.821878247472,1.1860904076997851,0.2836675653932682,4.181269036012012,2.8988661685219723e-5,0.004565873493783014,Up
KCTD17,176.17672528621503,1.0972476075941104,0.2643848845547319,4.150190391716447,3.3219883630900656e-5,0.005175441218279338,Up
SH3BP2,366.8670145789399,1.0695861021856055,0.25825653604901877,4.141564502292368,3.4494483485521596e-5,0.0053162304494406565,Up
EPN3,416.1964305501828,1.24438789604922,0.3017950867026806,4.123287458536902,3.7350309932156254e-5,0.005695127577208463,Up
