D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
LOC114116507	2	0	2	0	0	1	0	0	0
SBSPON	191	142	172	115	85	522	166	53	138
TRNAE-UUC_53	0	0	0	0	0	0	0	0	0
C9H8orf89	24	10	13	42	36	39	13	17	24
RPL7	10912	8325	7930	17492	15820	10824	8060	8202	11523
RDH10	4736	2162	2099	1749	1467	1016	2433	2344	2747
STAU2	1836	873	1225	644	592	1083	862	804	1202
UBE2W	1532	831	1038	553	570	1026	513	582	1143
ELOC	775	465	624	649	684	598	438	497	714
TMEM70	918	533	532	943	689	679	538	612	930
LY96	44	24	23	45	40	52	19	20	31
LOC101111747	62	36	29	163	159	117	15	64	111
LOC114116374	9	6	8	6	13	10	2	8	4
LOC114116462	0	0	0	0	0	0	0	0	0
TRNAE-UUC_54	0	0	0	0	0	0	0	0	0
LOC114116516	0	0	0	0	0	0	0	0	0
LOC101108497	4	0	0	0	0	0	0	0	0
JPH1	15	29	21	5	7	25	12	17	23
GDAP1	36	30	13	25	17	63	15	21	26
PI15	24	6	14	4	1	11	4	6	6
CRISPLD1	220	56	78	33	22	26	64	40	52
TRNAG-UCC_26	0	0	0	0	0	0	0	0	0
HNF4G	3083	1372	1162	1050	785	1947	971	1296	1802
LOC114116512	0	0	0	0	0	0	0	0	0
LOC105611154	0	0	0	0	0	0	0	0	0
ZFHX4	45	32	22	22	3	21	21	32	30
PEX2	678	444	366	475	520	518	376	420	769
LOC105613955	0	0	0	0	0	0	0	0	0
LOC114116518	0	0	0	0	0	0	0	0	0
LOC114116506	0	0	0	0	0	0	0	0	0
TRNAS-GGA_78	0	0	0	0	0	0	0	0	0
LOC114116529	0	0	0	0	0	0	0	0	0
LOC114116530	0	0	0	0	0	0	0	0	0
LOC101118794	0	0	0	0	0	0	0	0	0
PKIA	2548	1007	1527	1026	801	1264	1171	1046	1524
ZC2HC1A	1029	497	559	472	337	731	314	395	634
IL7	71	64	30	48	31	57	19	31	62
CCN3	28	84	31	124	129	223	35	25	70
LOC114116375	0	0	0	0	0	0	0	0	0
LOC114116489	0	0	0	0	0	0	0	0	0
STMN2	89	33	10	40	17	53	7	3	20
HEY1	34	34	29	48	35	78	39	28	59
MRPS28	730	493	542	736	617	493	484	477	617
TPD52	2417	1379	1801	1521	1134	2347	1651	1273	3273
TRNAE-UUC_55	0	0	0	0	0	0	0	0	0
ZBTB10	530	381	446	318	276	478	248	247	499
LOC106991350	6	4	1	2	0	1	0	2	0
ZNF704	3343	1413	2031	900	703	1490	1132	1209	1554
LOC114116463	3	1	0	0	3	0	0	0	0
PAG1	115	86	106	10	10	106	61	71	69
LOC114116376	9	5	6	0	0	25	8	0	7
FABP5	98	187	102	138	197	596	78	90	75
LOC101113077	0	0	0	0	0	0	0	0	0
LOC101113339	0	0	0	0	0	0	0	0	0
FABP4	0	83	7	0	5	183	0	1	6
FABP12	0	0	0	0	0	0	0	0	0
CCN3_1	36	28	19	10	16	83	2	8	18
LOC114116464	0	0	0	0	0	0	0	2	1
MAL2	3053	2043	2000	2134	1714	3167	1467	1742	3143
COLEC10	0	0	0	0	0	0	3	0	0
TNFRSF11B	0	2	0	0	0	1	0	2	1
LOC114116488	0	0	0	0	0	0	0	0	0
LOC114116378	0	0	0	0	0	0	0	0	0
LOC114116379	2	3	3	1	2	1	0	0	0
SAMD12	62	11	25	32	7	24	25	30	13
LOC114116380	0	0	0	0	0	0	0	0	0
TRNAG-CCC_62	0	0	0	0	0	0	0	0	0
LOC114116521	0	0	0	0	0	0	0	0	0
TRNAE-CUC_25	0	0	0	0	0	0	0	0	0
LOC114116381	763	187	233	162	162	312	291	215	224
EXT1	1594	1084	1512	1131	1038	1053	1036	1155	1107
LOC114116382	0	0	3	2	5	0	4	2	1
MED30	173	118	127	262	199	255	118	144	154
SLC30A8	0	0	0	0	0	0	0	0	0
AARD	6	0	0	0	3	0	0	0	8
RAD21	4884	2954	3603	2381	1905	3354	2443	2469	3827
UTP23	566	307	423	274	215	423	199	287	449
EIF3H	2657	2097	1848	2235	2262	2359	1602	1714	2332
LOC105610475	0	0	0	0	0	0	0	0	0
TRPS1	1134	633	674	342	329	969	470	543	753
TRNAW-CCA_81	0	0	0	0	0	0	0	0	0
TRNAC-GCA_173	0	0	0	0	0	0	0	0	0
CSMD3	593	232	222	38	63	237	141	338	252
LOC114116429	4	1	0	1	2	0	2	2	1
LOC114116524	0	0	0	0	0	0	0	0	0
TRNAE-UUC_56	0	0	0	0	0	0	0	0	0
TRNAY-AUA_5	0	0	0	0	0	0	0	0	0
KCNV1	0	0	0	0	0	0	1	0	5
SYBU	204	167	107	164	196	247	74	98	202
LOC114116383	1	7	1	0	0	1	2	3	6
EBAG9	566	344	736	532	430	385	400	368	579
PKHD1L1	21	27	9	4	3	42	8	8	19
ENY2	289	256	265	562	495	292	324	280	270
NUDCD1	770	407	450	267	225	385	317	283	553
TRNAC-GCA_174	0	0	0	0	0	0	0	0	0
TRHR	0	0	0	0	0	0	0	0	0
TMEM74	0	0	0	0	3	2	0	0	0
LOC105610181	2	3	1	0	0	2	0	0	3
EMC2	1293	677	907	986	845	774	708	743	1085
EIF3E	4574	2643	3121	2756	2385	3212	1812	2059	3950
LOC114116509	0	0	0	0	0	0	0	1	0
RSPO2	0	1	0	0	0	0	0	0	0
ANGPT1	1149	346	839	474	364	459	490	491	481
LOC114116384	0	0	0	0	0	1	2	0	0
ABRA	0	2	0	7	6	3	0	0	4
OXR1	2666	1438	2072	765	644	1337	1121	1331	1527
LOC114116468	0	0	0	0	0	0	0	0	0
ZFPM2	93	65	65	42	43	54	42	30	81
LOC114116388	2	1	2	0	5	3	0	0	2
LOC114116492	0	0	0	0	0	0	0	0	0
LOC114116497	0	0	0	0	0	0	0	0	0
LOC105609290	0	0	0	0	0	0	0	0	0
LRP12	509	318	394	192	187	412	247	259	601
DPYS	20004	9298	9640	7739	7358	4213	11889	13281	10440
DCSTAMP	61	32	38	12	16	10	15	4	19
RIMS2	101	55	16	5	20	44	39	23	19
DCAF13	643	407	373	351	319	408	243	334	583
SLC25A32	581	338	436	303	245	369	289	302	479
CTHRC1	0	0	0	0	0	0	0	0	0
FZD6	636	371	350	238	270	527	257	257	458
BAALC	8	2	3	0	1	2	0	3	2
LOC114116535	0	3	0	0	4	0	1	1	2
ATP6V1C1	936	737	1006	852	741	654	808	575	1237
LOC114116533	0	0	0	0	0	0	0	0	0
AZIN1	3982	2444	2769	1857	1413	2908	1893	1777	3946
LOC114116470	0	0	2	3	0	1	0	2	1
TRNAE-UUC_57	0	0	0	0	0	0	0	0	0
LOC105611919	0	0	1	0	0	0	2	0	1
KLF10	1003	862	2220	876	725	831	579	637	1555
ODF1	0	0	0	0	0	0	0	0	0
UBR5	2887	1924	2041	1220	906	2320	1310	1316	2597
RRM2B	670	359	438	232	199	474	296	254	456
NCALD	2184	1450	1705	1674	1441	2095	1293	1170	1628
GRHL2	203	113	102	160	138	266	70	133	126
LOC114116527	0	0	0	0	0	0	0	0	0
LOC105609925	2	2	3	0	0	0	0	0	0
LOC114116495	0	0	0	0	0	0	0	0	0
LOC114116526	0	0	0	0	0	0	0	0	0
ZNF706	1622	1002	1230	1405	1260	1406	1121	1089	1807
LOC105616076	17	2	5	10	5	9	5	7	4
YWHAZ	4192	3386	3893	2540	2182	3945	2334	2119	3975
PABPC1	9074	7209	6817	5153	4634	5661	5214	5334	7682
SNX31	0	0	0	4	0	11	0	1	4
ANKRD46	1320	741	958	1045	682	1187	757	751	1323
LOC114116471	57	100	122	141	162	50	61	55	146
LOC105609920	502	366	375	699	694	668	281	537	698
RNF19A	2185	1204	1581	949	745	1542	929	1056	1533
SPAG1	507	389	369	266	247	265	282	271	394
POLR2K	228	110	138	284	223	240	133	126	241
FBXO43	14	1	3	0	0	6	0	4	7
RGS22	79	4	41	8	1	21	5	14	12
LOC105609918	6092	4747	5385	7354	7131	3160	4990	4269	4979
VPS13B	2514	1473	2221	874	820	1066	1567	1371	2375
TRNAC-GCA_175	0	0	0	0	0	0	0	0	0
LOC114116537	0	0	0	0	0	0	0	0	0
LOC106991327	1	2	0	2	2	1	0	0	0
OSR2	81	51	48	44	50	26	42	67	38
TRNAC-GCA_176	0	0	0	0	0	0	0	0	0
STK3	2063	1501	1844	1153	923	1326	901	971	1802
KCNS2	0	0	0	0	0	0	0	0	0
NIPAL2	153	56	84	48	73	310	58	69	136
POP1	36	17	18	28	41	29	24	20	23
TRNAG-CCC_63	0	0	0	0	0	0	0	0	0
RIDA	8472	6814	7912	7094	5940	3784	4459	6099	7908
ERICH5	101	36	77	21	37	44	19	17	38
RPL30	4175	3315	3242	9730	8477	4357	3376	3606	4847
LOC114116536	13	13	4	21	17	15	6	2	23
MATN2	1775	721	843	1047	1028	2642	784	1086	1608
LAPTM4B	5237	2954	2679	3044	2622	3230	2124	3107	4592
MTDH	4114	2216	2770	1504	1292	2721	1728	1849	3095
TSPYL5	1057	534	569	849	726	486	629	567	500
CPQ	1877	1385	1890	1198	1201	1206	826	1430	1689
SDC2	3702	1598	2218	2189	1843	3641	1384	1868	2724
LOC114116393	8	6	13	2	7	24	5	17	5
PTDSS1	2130	1156	1530	1448	1304	941	1207	1033	1187
MTERF3	659	436	618	448	396	301	371	318	560
LOC114116394	13	2	13	7	3	4	9	9	13
LOC101108663	1123	1255	1225	1599	1461	792	1285	963	933
GDF6	3	0	0	0	0	0	0	0	0
TRNAG-CCC_64	0	0	0	0	0	0	0	0	0
TRNAW-CCA_82	0	0	0	0	0	0	0	0	0
LOC114116504	0	0	0	0	0	0	0	0	0
TRNAS-AGA_2	4	0	0	0	0	0	2	0	1
C9H8orf37	453	242	326	270	215	397	223	225	378
LOC105610876	3	2	0	2	6	1	0	5	0
PLEKHF2	2896	1724	1565	1446	1073	1792	1064	1334	2190
LOC114116472	0	0	0	0	4	3	3	1	1
NDUFAF6	266	195	152	202	167	205	122	169	244
LOC114116540	1	0	1	0	0	0	0	0	4
TP53INP1	2067	1486	2270	1605	1299	1335	1753	1165	3641
CCNE2	28	31	34	20	20	53	11	8	29
LOC114116395	8	4	10	10	8	6	1	1	12
INTS8	1000	581	715	460	398	737	456	503	793
DPY19L4	1376	700	1032	159	110	735	554	510	1016
TRNAG-CCC_65	0	0	0	0	0	0	0	0	0
ESRP1	287	308	242	417	338	606	247	281	580
LOC105616091	2	5	5	0	0	5	4	0	3
VIRMA	2145	1267	1494	821	681	1651	1036	1124	1561
RAD54B	70	31	36	29	37	59	26	31	49
FSBP	114	48	69	22	24	51	21	36	56
GEM	70	166	73	74	82	259	84	20	137
CDH17	18	1	10	0	1	31	4	0	5
LOC114116396	14	1	10	4	2	52	3	0	12
LOC114116397	0	0	0	0	0	0	0	0	0
PDP1	580	455	448	431	316	609	275	320	463
LOC114116398	0	0	0	0	0	0	0	0	0
LOC105610886	1	0	2	2	0	1	0	0	0
TMEM67	284	117	142	107	80	191	92	91	217
RBM12B	1066	561	774	562	585	746	552	448	917
FAM92A	739	405	367	504	336	520	253	318	485
LOC101110771	31	12	19	22	14	21	10	10	14
LOC105610887	58	24	22	45	14	16	38	39	43
LOC114116534	0	0	0	0	0	0	0	0	0
TRIQK	241	159	187	97	61	218	90	89	145
TRNAS-AGA_3	0	0	0	0	0	0	0	0	0
TRNAS-AGA_4	0	0	0	0	0	0	0	0	0
LOC101108057	93	99	119	17	12	70	11	110	62
RUNX1T1	180	136	149	26	35	124	107	75	149
TRNAG-CCC_66	0	0	0	0	0	0	0	0	0
LOC114116400	19	15	26	15	6	13	8	8	22
SLC26A7	94	49	64	33	23	459	32	35	46
LRRC69	17	25	19	15	13	6	5	4	8
OTUD6B	1131	614	778	623	498	759	600	623	1096
LOC105609758	169	106	206	66	75	117	70	47	59
PIP4P2	220	193	166	207	122	244	124	145	258
C9H8orf88	90	125	36	63	44	54	170	56	113
TMEM64	2299	1128	1337	1158	882	1277	1136	1111	2282
CALB1	15342	13333	14002	21489	14299	16120	16635	16522	29953
DECR1	1790	967	1171	924	998	690	991	649	1238
NBN	974	549	625	538	415	786	354	396	747
OSGIN2	229	130	156	95	99	226	96	127	219
RIPK2	1069	689	618	725	484	634	447	462	925
LOC114116493	0	0	0	0	0	0	0	0	0
MMP16	91	163	89	43	48	128	51	40	49
CNBD1	0	0	0	0	0	0	0	0	0
CNGB3	1	0	0	0	0	0	0	0	0
CPNE3	2196	1376	1367	768	551	1756	892	1110	1564
RMDN1	479	337	352	439	532	479	306	335	493
WWP1	3161	1633	2185	733	635	1440	1727	1477	1653
LOC114116404	4	6	4	1	2	6	5	2	6
LOC101112828	0	0	1	3	1	0	2	0	3
ATP6V0D2	282	647	166	1198	845	988	377	316	666
LOC105610324	2	0	0	0	1	0	0	0	0
PSKH2	0	0	0	0	0	0	0	0	0
LOC105610323	1026	126	206	405	350	425	285	438	161
LOC114116474	5	9	11	11	3	6	10	16	9
CA2	20854	12725	13895	16851	15658	7893	15006	13390	26657
CA3	1576	288	300	205	222	135	343	348	426
CA1	0	0	0	0	0	3	0	0	2
CA1_1	0	0	0	0	0	0	0	0	0
LOC114116406	1	0	2	0	0	0	0	0	0
LOC114116475	0	0	0	0	0	0	0	0	0
CA13	3414	1854	3912	2690	2262	3167	3965	3635	4471
C9H8orf59	324	282	209	348	346	253	187	173	234
E2F5	615	442	406	481	314	553	338	292	535
LRRCC1	2560	1120	1432	1194	1008	1440	1944	939	2108
LOC101114368	3752	1218	3399	2470	2049	1606	2800	1373	3231
LOC105610833	7549	2880	5328	4894	4323	10188	3930	5872	4810
RALYL	28	26	6	34	31	18	7	14	9
LOC114116517	0	0	0	0	0	0	0	0	0
LOC114116476	0	0	0	0	0	0	0	0	0
SNX16	888	724	590	501	415	787	391	396	929
LOC114116407	50	56	48	80	85	80	83	46	109
CHMP4C	817	461	664	719	546	612	600	599	986
LOC114116408	8	6	4	5	17	16	2	2	4
ZFAND1	944	659	742	572	586	580	433	498	897
SLC10A5	438	229	217	178	137	277	158	165	463
IMPA1	1442	1270	751	1113	924	2062	908	797	2073
LOC114116409	6	3	5	3	3	19	5	2	21
ENPP2	2256	1171	1009	797	787	1126	915	1036	1858
LOC105611737	399	177	139	198	206	251	95	195	260
TAF2	2147	1176	1432	905	757	1214	1237	1132	1722
DSCC1	196	133	180	171	250	261	163	154	202
LOC105611734	0	0	0	0	4	0	1	0	0
DEPTOR	272	140	137	46	62	146	208	206	216
COL14A1	174	182	67	142	121	147	23	101	32
MRPL13	460	393	418	634	591	341	365	353	382
MTBP	674	337	466	370	329	565	362	391	525
SNTB1	1016	669	637	825	708	861	685	839	689
LOC114116412	6	22	2	5	8	5	5	4	4
LOC114116411	8	10	3	8	22	9	5	8	4
LOC114116477	0	0	0	0	0	0	0	0	0
LOC114116528	0	0	0	0	0	0	0	0	0
MANEA	393	191	333	69	49	173	89	151	228
PCDH20	539	235	321	104	63	22	252	245	217
LOC114116743	0	0	0	0	0	0	0	0	0
TDRD3	438	346	375	261	244	381	329	287	411
LOC114116737	0	0	0	0	0	0	0	0	0
DIAPH3	18	5	12	4	2	26	10	8	7
PCDH17	38	40	59	19	8	30	19	43	34
LOC114116592	95	44	36	133	142	118	91	93	207
LOC114116749	0	0	0	0	0	0	0	0	0
LOC114116593	5	5	5	5	5	6	3	7	13
LOC114116748	0	0	0	0	0	0	0	0	0
LOC114116754	0	0	0	0	0	0	0	0	0
LOC114116722	62	105	134	62	99	41	24	52	0
LOC114116594	0	0	0	0	0	0	0	0	0
LOC105610339	0	0	0	0	0	0	0	0	0
OLFM4	5	10	12	9	2	15	12	3	7
PCDH8	0	0	0	0	0	0	0	0	0
CNMD	1397	174	113	223	238	103	116	173	113
LOC101122608	685	399	396	541	485	535	353	320	624
ELF1	768	522	576	401	361	785	460	393	747
TRNAK-CUU_9	0	0	0	0	0	0	0	0	0
TRNAE-UUC_58	0	0	0	0	0	0	0	0	0
WBP4	1037	653	656	685	660	702	489	434	720
KBTBD6	212	69	80	103	83	221	101	122	156
LOC101107365	263	112	162	149	90	188	109	155	203
MTRF1	251	153	211	165	127	143	150	140	246
NAA16	499	387	277	272	244	532	341	254	458
RGCC	884	855	1537	3111	2566	1306	959	802	3695
LOC114116684	0	0	1	0	0	0	0	0	0
VWA8	2602	1229	1688	714	631	1034	1141	1116	1589
DGKH	113	123	141	16	13	114	73	81	89
AKAP11	5921	3402	4237	1618	1328	4032	2439	2617	4173
TNFSF11	1	0	0	0	0	2	0	0	1
FAM216B	1	0	3	2	2	1	3	2	3
EPSTI1	482	272	118	115	129	65	140	92	253
DNAJC15	882	525	615	666	577	518	417	444	841
ENOX1	548	358	598	387	330	279	362	391	617
LOC114116596	1	0	0	0	0	0	1	0	0
CCDC122	3	1	1	0	0	0	0	0	0
LACC1	1004	603	838	150	165	333	614	522	654
SMIM2	0	0	0	0	0	0	0	0	0
LOC114116597	0	0	0	0	0	0	0	0	0
SERP2	5	3	3	11	12	8	6	2	8
TSC22D1	4801	5524	6670	8298	7108	5135	4627	4333	15349
LOC105612552	6	3	2	4	2	5	1	1	3
LOC114116685	0	0	0	0	0	0	0	1	0
TRNAE-UUC_59	0	0	0	0	0	0	0	0	0
NUFIP1	200	140	132	156	190	122	109	146	139
GPALPP1	815	511	413	438	327	498	228	307	497
GTF2F2	2847	2344	2646	2629	2435	1597	2018	2149	2962
KCTD4	12	14	5	22	9	11	95	19	57
LOC114116763	10	15	0	0	3	7	12	0	5
TPT1	46829	32283	25012	29235	23785	18922	12396	15184	22413
LOC114116762	2	3	0	5	7	2	9	0	2
SLC25A30	2127	1493	1307	1018	862	1708	880	1094	1602
COG3	1059	654	598	466	440	804	450	474	828
ERICH6B	0	0	0	0	3	0	0	0	0
SPERT	0	1	0	6	6	0	0	0	1
LOC114116723	0	0	0	0	0	0	0	0	0
LOC101104074	0	0	0	0	0	0	0	0	0
ZC3H13	1069	655	800	637	534	817	669	590	897
CPB2	2	7	0	6	5	4	0	0	0
LCP1	648	529	561	357	421	449	371	289	464
TRNAG-CCC_67	0	0	0	0	0	0	0	0	0
LRRC63	0	1	0	0	0	0	3	0	1
RUBCNL	36	33	24	20	3	19	26	13	37
LRCH1	907	622	712	516	444	809	550	456	737
ESD	2979	1616	1674	2305	2015	2090	1525	1537	2793
HTR2A	23	28	10	15	8	59	17	12	93
SUCLA2	1027	872	799	596	458	770	734	650	1086
NUDT15	1043	447	659	510	491	835	450	454	685
MED4	420	287	242	267	243	409	170	190	410
ITM2B	53588	22388	34031	25300	23961	24485	25549	29119	26978
RB1	439	347	375	207	174	420	221	232	402
LOC114116599	8	93	5	410	358	4	193	5	0
LPAR6	554	338	175	245	197	537	166	224	321
RCBTB2	758	453	514	503	434	563	342	370	603
CYSLTR2	30	10	6	2	6	13	4	0	8
TRNAC-GCA_177	0	0	0	0	0	0	0	0	0
LOC105608010	0	0	0	0	0	0	0	0	2
FNDC3A	4903	2603	3968	1656	1268	3034	2080	2499	4410
MLNR	0	0	0	0	0	0	0	1	3
LOC114116768	0	0	0	0	0	0	0	0	0
CDADC1	1243	697	828	633	475	795	680	736	906
CAB39L	294	192	211	160	139	368	150	170	215
SETDB2	429	286	371	268	229	344	232	228	492
PHF11	616	405	324	497	488	458	305	218	563
RCBTB1	2139	1113	1458	746	639	904	919	959	1661
LOC101116843	11	16	10	31	21	14	11	16	49
LOC101117343	71	92	44	2	6	39	65	19	59
EBPL	407	253	309	519	432	405	240	209	552
KPNA3	525	350	292	230	168	427	194	222	396
SPRYD7	2755	1744	1841	1204	1109	1507	1108	1292	2178
LOC105608011	23	8	17	12	6	12	13	16	8
TRIM13	477	237	234	251	253	406	252	220	406
LOC105608014	20	12	11	5	13	21	15	12	13
KCNRG	8	6	3	2	2	13	9	4	5
LOC105608013	219	98	137	171	154	247	89	89	171
LOC105608012	43	31	25	27	29	50	35	29	50
LOC114116727	30	23	16	74	78	36	30	38	43
TRNAR-UCU_4	0	0	0	0	0	0	0	0	0
DLEU7	0	0	0	0	0	0	0	0	0
RNASEH2B	332	160	206	256	251	191	153	191	272
C10H13orf42	0	0	0	0	0	0	0	0	0
FAM124A	34	37	19	27	12	27	24	41	21
SERPINE3	153	52	116	80	95	70	67	84	108
INTS6	1023	599	919	481	562	884	679	568	936
WDFY2	419	203	268	123	101	207	160	160	207
DHRS12	370	172	183	261	248	251	178	191	184
LOC114116602	9	2	4	2	7	5	6	3	0
CCDC70	0	0	2	0	0	2	0	0	0
ATP7B	76	86	51	73	71	64	74	52	78
ALG11	763	433	534	405	320	540	389	427	663
NEK5	16	12	10	47	37	12	9	7	14
NEK3	83	77	81	70	96	135	56	58	75
CKAP2	30	21	29	13	7	49	14	26	45
VPS36	1562	1085	1260	797	635	1104	861	749	1485
THSD1	77	71	37	90	73	112	52	64	69
LOC114116757	1	0	0	0	0	0	0	0	0
TRNAM-CAU_10	0	0	0	0	0	0	0	0	0
LOC101107613	56	18	9	39	43	3	10	2	30
SLC25A15	15256	3078	3960	4252	3516	1339	2715	3138	7482
LOC114116604	0	1	0	0	0	0	0	0	0
MRPS31	404	284	324	440	424	346	351	307	361
LOC114116756	4	0	0	0	0	0	1	3	0
FOXO1	1647	1036	1326	960	701	911	850	841	1701
LOC105616150	21	11	20	16	11	8	3	7	3
LOC101122286	63	88	44	53	41	46	43	52	64
COG6	916	604	518	439	414	616	398	445	753
LHFPL6	582	422	413	448	369	448	243	379	392
LOC114116765	0	0	0	0	0	3	0	0	0
NHLRC3	640	335	358	58	48	346	376	304	535
PROSER1	392	230	211	293	300	303	298	295	341
STOML3	0	0	0	0	0	0	0	0	0
FREM2	2027	730	1620	545	437	888	716	727	735
LOC114116736	0	0	0	0	0	0	0	0	0
UFM1	2436	1389	1576	1291	1106	1831	1153	1137	2185
TRPC4	50	43	30	31	16	52	11	31	25
POSTN	119	68	96	55	45	127	146	69	87
SUPT20H	1052	789	582	532	546	1182	583	567	886
EXOSC8	249	114	172	225	188	228	139	122	172
ALG5	582	339	379	486	435	381	313	344	448
LOC105612442	4	1	1	4	5	12	2	3	7
SMAD9	21	20	14	2	3	34	18	17	6
LOC114116605	38	31	7	32	23	31	15	4	34
RFXAP	585	227	418	456	392	581	281	370	535
SERTM1	1	2	0	0	0	9	0	2	6
LOC105616153	3	0	0	1	4	4	0	2	3
LOC114116767	0	0	0	0	0	0	0	0	0
CCNA1	1	12	6	2	7	0	2	0	11
SPART	2514	1325	1950	1078	1015	1274	1393	1400	1918
LOC101106086	45	15	23	8	15	5	27	10	0
DCLK1	300	352	365	196	169	252	313	429	722
NBEA	673	442	497	291	246	415	355	359	500
TRNAE-UUC_60	0	0	0	0	0	0	0	0	0
MAB21L1	1	0	3	2	0	2	6	1	1
LOC105611533	3	2	0	3	2	2	6	3	0
TRNAC-GCA_178	0	0	0	0	0	0	0	0	0
LOC106991378	0	0	0	0	0	0	0	0	0
LOC114116606	2	3	3	5	4	3	1	1	1
LOC101109717	0	0	0	0	0	0	0	0	0
TRNAC-ACA_54	0	0	0	0	0	0	0	0	0
LOC114116607	1	3	3	1	0	0	0	0	0
RFC3	107	91	108	87	100	167	53	82	139
LOC114116608	28	20	27	43	17	36	27	16	44
LOC114116609	0	0	2	2	4	0	1	0	2
TRNAW-CCA_83	0	0	0	0	0	0	0	0	0
LOC101110521	254	264	225	14	46	258	126	147	221
LOC101110773	4894	5119	2345	2411	2362	282	1323	157	2570
RXFP2	0	0	0	0	0	0	0	0	2
LOC114116650	0	0	0	0	0	0	0	0	0
LOC101111560	810	419	602	570	423	409	586	569	608
HSPH1	1430	916	1177	883	864	1225	985	1088	2292
LOC105616258	0	0	0	0	0	4	0	0	0
LOC105610265	0	0	0	0	0	3	0	0	0
TEX26	0	0	0	0	0	0	0	0	0
MEDAG	2	156	12	5	8	21	0	1	8
LOC114116688	0	0	0	0	0	0	0	0	0
ALOX5AP	31	13	13	30	37	13	26	10	19
TRNAN-GUU_30	0	0	0	0	0	0	0	0	0
USPL1	580	379	360	274	270	645	279	261	535
HMGB1	4959	3266	4403	4511	4184	4104	3218	3255	4485
TRNAW-CCA_84	0	0	0	0	0	0	0	0	0
LOC114116612	29	14	35	20	22	20	28	32	43
KATNAL1	442	307	312	247	243	491	191	180	434
UBL3	6260	3426	3424	2815	2231	4230	2918	3176	5382
SLC7A1	233	160	222	145	112	265	227	174	191
MTUS2	8	9	8	12	24	17	0	16	15
LOC114116739	0	0	0	0	0	0	0	0	0
SLC46A3	2423	1542	1488	928	832	786	1007	1101	1797
POMP	1549	1191	1182	1460	1200	1041	1030	966	1445
LOC105610254	45	42	36	91	83	81	33	26	72
FLT1	2076	1779	1966	1105	1097	1305	1530	1433	1709
PAN3	1599	1162	1173	863	679	1473	726	848	1295
FLT3	45	34	51	21	13	49	17	12	73
URAD	45	7	10	61	45	15	15	30	27
CDX2	0	0	0	0	0	0	0	0	0
PDX1	0	0	0	0	0	0	0	0	0
TRNAC-GCA_179	0	0	0	0	0	0	0	0	0
GSX1	0	0	0	0	0	0	0	0	0
LOC101113604	455	398	329	542	545	514	358	388	516
POLR1D	436	343	353	892	837	352	424	362	431
LNX2	583	454	411	304	237	439	307	295	682
MTIF3	362	296	311	349	337	325	311	279	302
GTF3A	321	245	197	221	210	263	234	218	312
LOC114116689	0	2	0	0	0	2	0	0	0
LOC114116690	5	10	2	8	16	0	0	0	6
RASL11A	51	64	65	71	107	66	42	30	100
RPL21	4446	5175	4706	8662	8632	4049	3813	3822	4476
LOC114116764	5	2	6	9	6	10	5	1	7
LOC114116761	1	0	2	0	7	0	0	0	0
LOC105609570	0	1	0	4	8	2	6	4	5
LOC114116615	115	10	24	19	19	52	79	2	53
USP12	1394	1007	906	677	609	1234	724	808	1141
TRNAG-CCC_68	0	0	0	0	0	0	0	0	0
GPR12	0	0	0	0	0	0	0	0	0
LOC114116616	0	0	0	0	0	0	0	0	0
WASF3	679	470	401	508	367	670	433	426	579
LOC101115551	111	83	71	71	57	102	70	126	153
RNF6	682	388	318	425	321	464	357	408	515
LOC101115135	0	0	0	0	0	0	0	0	0
LOC114116732	0	0	0	0	0	0	0	0	0
SHISA2	699	799	549	690	651	2217	560	789	737
LOC101115632	14	8	3	2	3	15	2	11	14
LOC114116745	0	0	0	0	0	0	0	0	0
NUP58	709	420	503	254	213	506	342	380	551
MTMR6	1510	856	1087	740	595	1197	764	837	1415
AMER2	1	4	0	1	0	23	4	5	7
SPATA13	2448	1234	1222	951	885	2168	1185	1417	1748
C1QTNF9	28	17	20	86	37	23	15	21	60
MIPEP	601	309	394	529	449	458	483	376	489
TNFRSF19	87	70	70	58	50	94	50	100	70
LOC114116617	5	6	0	4	5	5	4	4	9
LOC105609560	3	3	4	3	4	11	7	3	3
SACS	328	143	241	109	66	237	198	163	167
SGCG	2	0	6	0	3	0	6	4	0
LOC114116741	0	0	0	0	0	0	0	0	0
TRNAK-UUU_9	0	0	0	0	0	0	0	0	0
LOC114116618	0	0	0	0	0	4	0	0	1
LOC105609559	0	0	0	1	0	6	0	0	0
LOC114116691	1	0	0	2	4	6	0	4	0
FGF9	520	333	446	501	482	1260	294	277	432
MICU2	1925	1304	1471	1280	1274	1350	1123	1170	2115
LOC105611671	106	92	75	97	89	109	108	65	132
ZDHHC20	3516	1798	2092	1394	1017	1933	1468	1391	2752
MRPL57	346	77	105	695	664	329	560	317	520
SKA3	7	8	3	6	5	21	5	2	11
TRNAE-UUC_61	0	0	0	0	0	0	0	0	0
SAP18	1533	1240	1346	1689	1720	1194	1319	1244	1373
LATS2	1827	1102	1243	1104	767	1591	877	1149	1451
XPO4	1425	777	841	726	686	885	887	752	1169
EEF1AKMT1	311	203	216	184	174	240	238	239	256
IL17D	45	38	20	84	103	154	114	73	103
IFT88	940	531	591	620	674	637	504	516	858
