D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
GUCA2A	0	0	1	0	6	0	0	0	0
FOXJ3	1102	642	740	544	388	964	533	607	902
LOC114111265	0	0	0	0	0	0	0	0	0
RIMKLA	3	2	1	0	2	13	3	1	4
ZMYND12	52	5	27	16	41	21	3	33	6
PPCS	715	355	422	562	468	441	327	372	534
CCDC30	321	201	218	257	231	280	147	185	265
PPIH	155	167	178	259	318	127	150	132	136
YBX1	3112	2033	2291	3050	3034	2796	3349	2790	2876
CLDN19	145	90	26	168	226	484	91	162	100
P3H1	573	260	233	616	578	398	423	348	436
C1H1orf50	1627	946	1149	1374	1289	901	944	912	1552
TMEM269	1	0	1	1	9	3	0	4	1
SVBP	206	170	120	253	205	218	109	128	149
ERMAP	0	0	0	0	0	0	0	0	0
ZNF691	177	135	141	193	188	181	171	165	183
SLC2A1	476	343	322	482	441	444	434	387	389
LOC101103614	0	0	0	0	0	0	0	0	0
LOC101104115	0	0	0	0	0	0	0	0	0
LOC101104364	0	0	0	0	0	0	0	0	0
LOC101104625	0	0	0	0	0	0	0	0	0
LOC101104878	0	0	0	0	0	0	0	0	0
LOC101107645	0	0	0	0	0	0	0	0	0
LOC101107910	0	0	0	0	0	0	0	0	0
LOC101105126	0	0	0	0	0	0	0	0	0
LOC101105378	0	0	0	0	0	0	0	0	0
LOC101108173	0	0	0	0	0	0	0	0	0
LOC101105621	0	0	0	0	0	0	0	0	0
LOC101108434	0	0	0	0	0	0	0	0	0
FAM183A	0	0	0	0	0	0	0	0	0
EBNA1BP2	515	458	402	597	667	414	363	344	428
CFAP57	9	4	0	11	11	27	14	9	12
TMEM125	481	177	196	691	712	674	236	381	389
C1H1orf210	2130	1229	1556	1913	1981	2451	1482	1731	1973
LOC101109657	730	439	397	826	655	833	345	473	626
TIE1	408	440	357	515	569	804	303	441	582
LOC105607154	22	14	14	7	5	22	20	7	22
MPL	0	0	0	0	0	1	3	0	0
LOC114111150	0	0	0	0	0	0	0	0	0
CDC20	6	5	4	10	8	25	14	5	18
ELOVL1	1117	607	637	996	1118	1214	805	793	967
MED8	377	204	266	386	426	303	250	214	348
SZT2	767	338	397	517	599	593	568	494	641
LOC114114543	1	1	0	3	3	3	0	6	0
HYI	823	493	478	1208	1209	635	557	504	941
PTPRF	2478	1557	1427	1388	1325	1819	2014	2011	2644
KDM4A	1470	1056	1375	846	842	868	1464	936	2632
ST3GAL3	877	605	571	751	755	413	765	609	704
LOC106990836	20	19	17	7	15	30	13	17	23
ARTN	15	22	1	39	19	22	9	10	4
IPO13	893	445	466	593	520	621	657	593	801
DPH2	235	126	111	175	158	172	163	170	182
ATP6V0B	2210	1481	1448	2104	1747	1760	1552	1594	2691
B4GALT2	509	274	246	360	338	456	283	353	354
CCDC24	46	30	27	128	166	79	48	46	68
SLC6A9	41	26	30	16	33	65	41	28	35
KLF17	0	0	0	0	0	0	0	0	0
LOC101116694	186	146	150	194	138	65	79	99	148
DMAP1	464	329	300	815	797	372	455	384	503
ERI3	585	383	333	614	559	464	423	439	591
RNF220	1109	876	872	1308	1224	891	960	916	1017
LOC105607754	169	123	97	171	150	83	119	91	73
LOC114114616	15	22	9	26	16	12	11	9	15
TMEM53	2149	885	1060	1116	1097	721	1115	1770	1403
ARMH1	881	373	548	278	365	597	337	469	464
LOC114110972	0	0	0	0	0	0	0	0	0
LOC114112972	0	0	0	0	1	0	1	0	0
LOC114110973	0	0	0	0	0	0	0	0	0
LOC106990837	24	13	17	2	4	6	8	11	28
KIF2C	1	5	3	5	10	3	4	3	19
RPS8	8005	8666	8903	9816	10709	6203	5112	4826	6493
LOC114111281	6	6	4	10	9	20	4	4	5
LOC114111284	7	5	3	13	10	12	2	0	7
LOC114111283	0	0	0	0	0	0	0	0	0
LOC114111282	2	5	1	9	2	4	2	5	9
BEST4	0	1	0	2	8	6	9	6	2
PLK3	60	69	70	94	84	89	73	47	60
TCTEX1D4	0	0	0	0	2	0	0	0	0
BTBD19	129	65	86	101	96	101	89	117	97
LOC114110971	0	0	1	0	1	0	0	0	0
LOC114114746	1	4	1	3	5	2	1	3	2
PTCH2	50	17	16	39	46	64	36	32	18
EIF2B3	407	270	308	329	283	389	220	265	395
HECTD3	1246	712	704	942	894	889	865	909	1096
UROD	998	635	765	1163	1192	872	1175	979	963
ZSWIM5	78	24	31	46	24	49	31	37	52
LOC114114749	0	1	0	0	0	0	0	0	0
LOC114111081	0	0	0	0	0	0	0	0	0
